tool,old_new_status,classification,how_it_operates,score_range,score_direction,threshold_rule,variant_classification,analysis_note,observed_range,observed_n
SIFT,Previous + current,Sequence homology / conservation predictor,Uses evolutionary conservation of amino-acid positions,0 to 1,Lower = more damaging,<= 0.05 damaging; > 0.05 tolerated,Damaging vs tolerated,Direct binary threshold available,NA,NA
PolyPhen-2,Previous + current,Sequence + structural missense predictor,"Uses sequence conservation, structural features and amino-acid substitution properties",0 to 1,Higher = more damaging,Probably damaging: 0.957-1; possibly damaging: 0.454-0.956; benign: 0-0.452,Benign / possibly damaging / probably damaging,Confirm whether HDIV or HVAR score is being used,NA,NA
MutationTaster,Previous + current,Integrated disease-prediction model,"Combines conservation, splice-site changes, protein features and known variant information",0 to 1 for score fields; prediction labels also used,Prediction-label dependent,Prefer prediction label rather than raw multi-value score,Disease-causing / polymorphism-style categories,Your updated score column contains comma-separated multi-value strings,NA,NA
MutationAssessor,Previous + current,Functional-impact predictor,Estimates functional impact from evolutionary conservation patterns within protein families,"Continuous score, commonly around negative to positive values",Higher = greater functional impact,High >3.5; medium >1.935; low >0.8; neutral <=0.8,High/medium often considered functionally damaging,Better interpreted as functional impact rather than direct clinical pathogenicity,NA,NA
FATHMM,Previous + current,Hidden Markov model predictor,Uses sequence conservation and hidden Markov models with disease weighting,Unbounded/continuous score,Lower = more damaging,<= -1.5 damaging; > -1.5 tolerated,Damaging vs tolerated,Clear binary threshold available,NA,NA
PROVEAN,Previous + current,Protein sequence homology predictor,Measures effect of amino-acid substitution or deletion on protein function,Unbounded/continuous score,Lower = more damaging,<= -2.5 deleterious; > -2.5 neutral,Deleterious vs neutral,Clear binary threshold available,NA,NA
CADD PHRED,Previous + current,Integrated deleteriousness score,Integrates multiple genomic annotations into a scaled deleteriousness score,"Phred-like score, usually >=0",Higher = more deleterious,No universal pathogenicity cutoff; >=20 often used for variant prioritisation,Continuous deleteriousness score,Do not treat CADD >=20 as a diagnostic pathogenicity rule without justification,NA,NA
DANN,Previous + current,Deep-learning deleteriousness score,Neural-network model trained on functional annotation features,0 to 1,Higher = more deleterious,No universal clinical cutoff,Continuous or calibrated,Avoid arbitrary binary classification unless threshold is prespecified,NA,NA
REVEL,Previous + current,Ensemble missense predictor,Combines multiple individual predictors into one missense pathogenicity score,0 to 1,Higher = more pathogenic,>0.5 commonly used; >0.75 more stringent,Pathogenic-like vs benign-like depending on cutoff,Can perform sensitivity analysis using 0.5 and 0.75,NA,NA
MetaSVM,Previous + current,Ensemble SVM meta-predictor,Combines multiple prediction and conservation scores using support vector machine modelling,Continuous score,Higher = more damaging,>0 damaging; <=0 tolerated,Damaging vs tolerated,Direct binary threshold available,NA,NA
MetaLR,Previous + current,Ensemble logistic-regression meta-predictor,Combines multiple prediction and conservation scores using logistic regression,0 to 1,Higher = more damaging,>0.5 damaging; <=0.5 tolerated,Damaging vs tolerated,Direct binary threshold available,NA,NA
BayesDel addAF,Previous + current,Bayesian meta-predictor,Combines deleteriousness features and allele-frequency information,Continuous score,Higher = more pathogenic,>0.0692655 deleterious,Deleterious vs tolerated,Use cleaned numeric column because updated column contains '-' placeholders,NA,NA
BayesDel noAF,Current / expanded,Bayesian meta-predictor,Similar to BayesDel addAF but excludes maximum allele frequency,Continuous score,Higher = more pathogenic,>-0.0570105 deleterious,Deleterious vs tolerated,Use only if this score is included in your final analytic set,NA,NA
ClinPred,Previous + current,Machine-learning meta-predictor,Trained to distinguish clinically pathogenic from benign nonsynonymous variants,0 to 1,Higher = more pathogenic,>0.5 deleterious,Deleterious vs tolerated,Updated score column converted cleanly from character to numeric,NA,NA
