tool,raw_score_col,prediction_col,raw_score_col_exists,prediction_col_exists
SIFT,SIFT_new,NA,TRUE,NA
PolyPhen-2,PolyPhen_new,NA,TRUE,NA
PROVEAN,PROVEAN_score_new,PROVEAN_pred_new,TRUE,TRUE
FATHMM,FATHMM_score_seperated,NA,TRUE,NA
FATHMM-MKL,fathmm-MKL_coding_score,NA,TRUE,NA
FATHMM-XF,fathmm_XF_coding_score_new,fathmm_XF_coding_pred_new,TRUE,TRUE
MutationTaster,MutationTaster_score_new,MutationTaster_pred_new,TRUE,TRUE
MutationAssessor,MutationAssessor_score_new,MutationAssessor_pred_new,TRUE,TRUE
MutPred2,MutPred2_score_new,MutPred2_pred_new,TRUE,TRUE
DEOGEN2,DEOGEN2_score_new,DEOGEN2_pred_new,TRUE,TRUE
PrimateAI,PrimateAI_score_new,PrimateAI_pred_new,TRUE,TRUE
REVEL,REVEL_score_new,NA,TRUE,NA
ClinPred,ClinPred_score_new,ClinPred_pred_new,TRUE,TRUE
MetaSVM,MetaSVM_score_new,MetaSVM_pred_new,TRUE,TRUE
MetaLR,MetaLR_score_new,MetaLR_pred_new,TRUE,TRUE
BayesDel addAF,BayesDel_addAF_score_new,BayesDel_addAF_pred_new,TRUE,TRUE
BayesDel noAF,BayesDel_noAF_score_new,BayesDel_noAF_pred_new,TRUE,TRUE
LIST-S2,LIST_S2_score_new,LIST_S2_pred_new,TRUE,TRUE
MetaRNN,MetaRNN_score_new,MetaRNN_pred_new,TRUE,TRUE
ESM1b,ESM1b_score_new,ESM1b_pred_new,TRUE,TRUE
EVE,EVE_SCORE_new,EVE_CLASS_new,TRUE,TRUE
popEVE,popEVE_SCORE_1_new,popEVE_pred_new,TRUE,TRUE
