tool,old_new_status,classification,how_it_operates,score_direction,threshold_rule,variant_classification
SIFT,Previous + current,Sequence homology / conservation predictor,Uses evolutionary conservation of amino-acid positions; substitutions at conserved positions are more likely damaging,Lower = more damaging,<= 0.05 damaging; > 0.05 tolerated,Damaging vs tolerated
PolyPhen-2,Previous + current,Sequence + structural missense predictor,"Uses sequence conservation, structural context and amino-acid substitution features",Higher = more damaging,Probably damaging 0.957-1; possibly damaging 0.454-0.956; benign 0-0.452; binary cutoff often >0.5,Probably damaging / possibly damaging / benign
MutationTaster,Previous + current,Integrated disease-prediction model,"Combines conservation, splice-site changes, protein features and known variant information",Prediction-label dependent,Prefer prediction label rather than raw multi-value score,Disease-causing / polymorphism-style categories
MutationAssessor,Previous + current,Functional-impact predictor,Estimates functional impact based on evolutionary conservation patterns within protein families,Higher = greater functional impact,High >3.5; medium >1.935; low >0.8; neutral <=0.8,High/medium often considered functionally damaging
FATHMM,Previous + current,Hidden Markov model predictor,Uses sequence conservation and hidden Markov models with disease weighting,Lower = more damaging,<= -1.5 damaging; > -1.5 tolerated,Damaging vs tolerated
FATHMM-MKL,Previous; current direct pair uncertain,Kernel-based integrated predictor,Combines coding and non-coding annotations using multiple-kernel learning,Higher = more damaging,Use supplied prediction label or study-specific threshold,Damaging vs neutral if prediction column exists
fathmm-XF,Newly added / updated FATHMM-family,Machine-learning pathogenicity predictor,Uses coding and non-coding features in an updated FATHMM framework,Higher = more damaging,Prefer fathmm_XF_coding_pred_new if available,Damaging vs tolerated
PROVEAN,Previous + current,Protein sequence homology predictor,Measures effect of amino-acid substitution or deletion on protein function using sequence similarity,Lower = more damaging,<= -2.5 deleterious; > -2.5 neutral,Deleterious vs neutral
LRT,Previous; current direct pair uncertain,Evolutionary likelihood-ratio test,Compares constrained versus neutral evolutionary models,Prediction-label based,Prefer D/N/U prediction label rather than raw score,Deleterious / neutral / unknown
VEST4,Previous; current direct pair uncertain,Machine-learning functional-impact predictor,Classifier trained on pathogenic and neutral missense variants,Higher = more damaging,No universal clinical cutoff; use as continuous or calibrated score,Continuous unless study-specific threshold is used
CADD,Previous + current,Integrated deleteriousness score,Integrates multiple genomic annotations into a scaled deleteriousness score,Higher = more deleterious,No universal pathogenicity cutoff; >=20 often used for prioritisation,Continuous deleteriousness score; binarise only with chosen threshold
DANN,Previous + current,Deep-learning deleteriousness score,Neural-network model trained on functional annotation features,Higher = more deleterious,No universal clinical cutoff,Continuous or calibrated
REVEL,Previous + current,Ensemble missense predictor,Combines multiple individual tools into a single missense pathogenicity score,Higher = more pathogenic,>0.5 commonly used; >0.75 more stringent,Pathogenic-like vs benign-like depending on cutoff
MetaSVM,Previous + current,Ensemble SVM meta-predictor,Combines several prediction and conservation scores using support vector machine modelling,Higher = more damaging,>0 damaging; <=0 tolerated,Damaging vs tolerated
MetaLR,Previous + current,Ensemble logistic-regression meta-predictor,Combines several prediction and conservation scores using logistic regression,Higher = more damaging,>0.5 damaging; <=0.5 tolerated,Damaging vs tolerated
BayesDel addAF,Previous + current,Bayesian meta-predictor,Combines deleteriousness features and allele-frequency information,Higher = more pathogenic,>0.0692655 deleterious,Deleterious vs tolerated
BayesDel noAF,Current / expanded,Bayesian meta-predictor,Similar to BayesDel addAF but excludes maximum allele frequency,Higher = more pathogenic,>-0.0570105 deleterious,Deleterious vs tolerated
ClinPred,Previous + current,Machine-learning meta-predictor,Trained to distinguish clinically pathogenic from benign nonsynonymous variants,Higher = more pathogenic,>0.5 deleterious,Deleterious vs tolerated
